Instance;GIPS Preprocessing Time Mean;GIPS Preprocessing Time StdDev;MZ Preprocessing Time Mean;MZ Preprocessing Time StdDev;Preprocessing Time R;Preprocessing Time R Mean;Preprocessing Time R StdDev;GIPS Build Time Mean;GIPS Build Time StdDev;MZ Build Time Mean;MZ Build Time StdDev;Build Time R;Build Time R Mean;Build Time R StdDev;GIPS Constraints;MZ Constraints;Constraints R;Constraints R Mean;Constraints R StdDev;GIPS Variables;MZ Variables;Variables R;Variables R Mean;Variables R StdDev;GIPS NonZeros;MZ NonZeros;NonZeros R;NonZeros R Mean;NonZeros R StdDev;GIPS Presolve Time Mean;GIPS Presolve Time StdDev;MZ Presolve Time Mean;MZ Presolve Time StdDev;Presolve Time R;Presolve Time R Mean;Presolve Time R StdDev;GIPS Constraints Presolved Mean;GIPS Constraints Presolved StdDev;MZ Constraints Presolved Mean;MZ Constraints Presolved StdDev;Constraints Presolved R;Constraints Presolved R Mean;Constraints Presolved R StdDev;GIPS Variables Presolved Mean;GIPS Variables Presolved StdDev;MZ Variables Presolved Mean;MZ Variables Presolved StdDev;Variables Presolved R;Variables Presolved R Mean;Variables Presolved R StdDev;GIPS NonZeros Presolved Mean;GIPS NonZeros Presolved StdDev;MZ NonZeros Presolved Mean;MZ NonZeros Presolved StdDev;NonZeros Presolved R;NonZeros Presolved R Mean;NonZeros Presolved R StdDev
i12;1.2411;0.0256;0.1797;0.0034;6.9065;;;20.7759;0.8491;193.4567;0.7476;0.1074;;;1847823.00;485034.00;3.8097;;;944509.00;603960.00;1.5639;;;7341060.00;2062123.00;3.56;;;50.4033;0.1862;16.63;0.0779;3.0309;;;1246807.00;0.00;142232.6667;40.8276;8.766;;;687064.00;0.00;555360.00;16.2686;1.2372;;;5874639.00;0.00;1783196.6667;107.0213;3.2944;;
i13;1.3452;0.0681;0.1733;0.0029;7.7623;;;17.7816;0.061;188.87;0.3966;0.0941;;;1621810.00;506051.00;3.2048;;;847019.00;637858.00;1.3279;;;6464156.00;2284307.00;2.8298;;;40.2567;0.1812;19.8633;0.1482;2.0267;;;1055617.00;0.00;148702.6667;37.7124;7.0988;;;624657.00;0.00;537472.3333;966.8507;1.1622;;;5109038.00;0.00;1776717.00;3336.1298;2.8755;;
i14;1.8752;0.0337;0.1773;0.0039;10.5764;;;47.7143;0.6555;540.80;2.1785;0.0882;;;4241975.00;1420301.00;2.9867;;;2157884.00;1690460.00;1.2765;;;18017188.00;5710167.00;3.1553;;;158.10;1.2703;34.3533;0.2829;4.6022;;;3373588.00;0.00;325529.3333;296.5134;10.3634;;;1799682.00;0.00;1477276.00;106.066;1.2182;;;15868252.00;0.00;4851041.6667;2605.9242;3.2711;;
i15;1.80;0.0133;0.18;0.0043;10.00;;;40.9969;1.0798;437.07;0.1393;0.0938;;;3749900.00;1168837.00;3.2082;;;1928981.00;1380804.00;1.397;;;15717280.00;4897581.00;3.2092;;;128.8767;0.2843;42.5867;0.3675;3.0262;;;2769775.00;0.00;276952.3333;44.7834;10.0009;;;1537434.00;0.00;1111756.00;9734.0319;1.3829;;;13261711.00;0.00;3729156.00;37572.8259;3.5562;;
i16;1.5373;0.0305;0.1833;0.0017;8.3868;;;35.7144;0.6631;377.3033;0.924;0.0947;;;3304908.00;962898.00;3.4323;;;1684642.00;1190237.00;1.4154;;;13663492.00;3984793.00;3.4289;;;102.59;0.5696;40.6133;0.3997;2.526;;;2426477.00;0.00;240871.3333;66.5649;10.0737;;;1310876.00;0.00;1043540.3333;176.9036;1.2562;;;11384709.00;0.00;3365083.6667;293.101;3.3832;;
i17;9.6607;0.0819;0.2063;0.0122;46.8284;;;288.4076;2.9711;2311.9033;9.6008;0.1247;;;26095872.00;6084632.00;4.2888;;;13258694.00;6909606.00;1.9189;;;109446200.00;26612543.00;4.1126;;;--;--;19.72;0.1657;--;;;--;--;1516978.00;0.00;--;;;--;--;6495540.00;0.00;--;;;--;--;23724915.00;0.00;--;;
i18;3.3584;0.0495;0.1903;0.0005;17.6479;;;103.7769;1.4487;1326.38;1.7374;0.0782;;;9281278.00;3483770.00;2.6641;;;4708224.00;4016814.00;1.1721;;;39139673.00;14557648.00;2.6886;;;365.0433;2.1639;11.31;0.0374;32.2762;;;7291990.00;0.00;792748.6667;0.4714;9.1984;;;3880456.00;0.00;3622306.00;7.7889;1.0713;;;34352526.00;0.00;12933751.00;15.5778;2.656;;
i19;11.393;0.1492;0.2367;0.0167;48.1327;;;444.4597;0.00;4579.5967;19.153;0.0971;;;37498644.00;11907324.00;3.1492;;;19087207.00;13306054.00;1.4345;;;164352455.00;50241369.00;3.2713;;;1235.69;0.00;15.9067;0.2859;77.6836;;;30523229.00;0.00;2467255.00;0.00;12.3713;;;16261373.00;0.00;11700076.00;0.00;1.3899;;;--;--;42549132.00;0.00;--;;
i20;1.802;0.077;0.2083;0.0132;8.651;;;33.7546;0.2963;395.0633;1.4193;0.0854;;;3124066.00;991525.00;3.1508;;;1607766.00;1232710.00;1.3043;;;12921916.00;4197988.00;3.0781;;;104.84;0.5853;50.6767;0.3112;2.0688;;;2096704.00;0.00;236595.00;72.1249;8.862;;;1162043.00;0.00;1048234.6667;3.2998;1.1086;;;9963727.00;0.00;3406931.6667;418.1358;2.9245;;
i21;7.0008;0.0903;0.1897;0.0096;36.9046;;;234.594;8.1396;1914.7267;10.7877;0.1225;;;20438120.00;5091564.00;4.0141;;;10427837.00;5817785.00;1.7924;;;87189885.00;21519529.00;4.0517;;;315.125;236.065;16.09;0.1715;19.5851;;;17151031.00;924267.00;1218385.00;4.2426;14.0769;;;9421996.50;678465.50;5218431.00;12.7279;1.8055;;;--;--;18794612.00;25.4558;--;;
