Instance;Memory Errors;Memory Error Build;Constraints Mean;Constraints StdDev;Constraints Presolved Mean;Constraints Presolved StdDev;Constraints R;Constraints R Mean;Constraints R StdDev;Variables Mean;Variables StdDev;Variables Presolved Mean;Variables Presolved StdDev;Variables R;Variables R Mean;Variables R StdDev;NonZeros Mean;NonZeros StdDev;NonZeros Presolved Mean;NonZeros Presolved StdDev;NonZeros R;NonZeros R Mean;NonZeros R StdDev;Presolve Time Mean;Presolve Time StdDev;Preprocessing Time Mean;Preprocessing Time StdDev;Build Time Mean;Build Time StdDev
i13;0.00;0.00;1621810.00;0.00;1055617.00;0.00;1.5364;;;847019.00;0.00;624657.00;0.00;1.356;;;6464156.00;0.00;5109038.00;0.00;1.2652;;;40.2567;0.1812;1.3452;0.0681;17.7816;0.061
i14;0.00;0.00;4241975.00;0.00;3373588.00;0.00;1.2574;;;2157884.00;0.00;1799682.00;0.00;1.199;;;18017188.00;0.00;15868252.00;0.00;1.1354;;;158.10;1.2703;1.8752;0.0337;47.7143;0.6555
i15;0.00;0.00;3749900.00;0.00;2769775.00;0.00;1.3539;;;1928981.00;0.00;1537434.00;0.00;1.2547;;;15717280.00;0.00;13261711.00;0.00;1.1852;;;128.8767;0.2843;1.80;0.0133;40.9969;1.0798
i16;0.00;0.00;3304908.00;0.00;2426477.00;0.00;1.362;;;1684642.00;0.00;1310876.00;0.00;1.2851;;;13663492.00;0.00;11384709.00;0.00;1.2002;;;102.59;0.5696;1.5373;0.0305;35.7144;0.6631
i17;3.00;0.00;26095872.00;0.00;--;--;--;;;13258694.00;0.00;--;--;--;;;109446200.00;0.00;--;--;--;;;--;--;9.6607;0.0819;288.4076;2.9711
i18;3.00;0.00;9281278.00;0.00;7291990.00;0.00;1.2728;;;4708224.00;0.00;3880456.00;0.00;1.2133;;;39139673.00;0.00;34352526.00;0.00;1.1394;;;365.0433;2.1639;3.3584;0.0495;103.7769;1.4487
i19;3.00;0.00;37498644.00;0.00;30523229.00;0.00;1.2285;;;19087207.00;0.00;16261373.00;0.00;1.1738;;;164352455.00;0.00;--;--;--;;;1235.69;0.00;11.393;0.1492;444.4597;0.00
i20;0.00;0.00;3124066.00;0.00;2096704.00;0.00;1.49;;;1607766.00;0.00;1162043.00;0.00;1.3836;;;12921916.00;0.00;9963727.00;0.00;1.2969;;;104.84;0.5853;1.802;0.077;33.7546;0.2963
i21;3.00;0.00;20438120.00;0.00;17151031.00;924267.00;1.1917;;;10427837.00;0.00;9421996.50;678465.50;1.1068;;;87189885.00;0.00;--;--;--;;;315.125;236.065;7.0008;0.0903;234.594;8.1396
i22;3.00;3.00;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--;11.4766;0.0967;--;--
i23;3.00;0.00;35001665.00;0.00;--;--;--;;;17739497.00;0.00;--;--;--;;;153236524.00;0.00;--;--;--;;;--;--;10.5782;0.1538;419.7626;0.00
i24;3.00;3.00;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--;17.4354;0.0858;--;--
i25;3.00;0.00;18395625.00;0.00;15297299.00;0.00;1.2025;;;9363321.00;0.00;8122669.00;0.00;1.1527;;;80776962.00;0.00;--;--;--;;;615.1833;0.3866;5.0199;0.1119;215.2227;1.8658
i26;3.00;3.00;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--;15.6411;0.0324;--;--
i27;3.00;3.00;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--;17.851;0.0342;--;--
i28;3.00;0.00;27534270.00;0.00;--;--;--;;;13985830.00;0.00;--;--;--;;;120115393.00;0.00;--;--;--;;;--;--;8.2203;0.1498;324.4948;1.5985
i29;3.00;0.00;19256999.00;0.00;15968095.00;1.4142;1.206;;;9879598.00;0.00;8633531.6667;0.4714;1.1443;;;85217192.00;0.00;75600326.00;0.00;1.1272;;;676.0433;49.0844;5.6684;0.0565;224.9156;2.5787
i30;3.00;0.00;26803741.00;0.00;--;--;--;;;13649936.00;0.00;--;--;--;;;116243195.00;0.00;--;--;--;;;--;--;8.5441;0.1725;306.8368;0.8414
final;;;;;;;;1.4649;0.2366;;;;;;1.35;0.1782;;;;;;1.2407;0.0921;;;;;;
