model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i17;5;56517;0.19;749.21;2,322.80;2,322.80;true;19.76;6084632;6909606;26612543;1516978;6495540;23724915;0;;17,640.00;;;;false;false
AllConstraints;v4;i17;6;56517;0.20;741.90;2,299.44;2,299.44;true;19.50;6084632;6909606;26612543;1516978;6495540;23724915;0;;17,640.00;;;;false;false
AllConstraints;v4;i17;7;56517;0.22;747.06;2,313.47;2,313.47;true;19.90;6084632;6909606;26612543;1516978;6495540;23724915;0;;17,640.00;;;;false;false
AllConstraints;v4;i18;5;30023;0.19;423.39;1,328.36;1,328.36;true;11.26;3483770;4016814;14557648;792748;3622311;12933761;1;110,593.00;35,983.00;0.67;true;57973;false;false
AllConstraints;v4;i18;6;30023;0.19;421.96;1,326.65;1,326.65;true;11.32;3483770;4016814;14557648;792749;3622295;12933729;1;114,647.00;35,983.00;0.69;true;61334;false;false
AllConstraints;v4;i18;7;30023;0.19;421.06;1,324.13;1,324.13;true;11.35;3483770;4016814;14557648;792749;3622312;12933763;1;113,550.00;35,983.00;0.68;true;60145;false;false
AllConstraints;v4;i19;5;101644;0.26;1,461.90;4,603.25;4,603.25;true;15.92;11907324;13306054;50241369;2467255;11700076;42549132;0;;;;;;false;true
AllConstraints;v4;i19;6;101644;0.22;1,448.56;4,556.34;4,556.34;true;16.25;11907324;13306054;50241369;2467255;11700076;42549132;0;;;;;;false;true
AllConstraints;v4;i19;7;101644;0.24;1,459.11;4,579.20;4,579.20;true;15.55;11907324;13306054;50241369;2467255;11700076;42549132;0;;;;;;false;true
AllConstraints;v4;i20;5;9089;0.20;131.50;396.47;396.47;true;50.71;991525;1232710;4197988;236646;1048237;3406636;0;;20,598.00;;;;false;false
AllConstraints;v4;i20;6;9089;0.23;130.97;395.60;395.60;true;51.04;991525;1232710;4197988;236646;1048237;3406636;0;;20,598.00;;;;false;false
AllConstraints;v4;i20;7;9089;0.20;130.13;393.12;393.12;true;50.28;991525;1232710;4197988;236493;1048230;3407523;10;46,082.00;20,304.00;0.56;true;46079;false;false
AllConstraints;v4;i21;5;48266;0.18;618.25;1,903.25;1,903.25;true;16.00;5091564;5817785;21519529;1218379;5218413;18794576;1;252,798.00;10,177.00;0.96;true;67140;false;false
AllConstraints;v4;i21;6;48266;0.20;626.22;1,929.17;1,929.17;true;16.33;5091564;5817785;21519529;1218388;5218440;18794630;1;247,151.00;8,219.00;0.97;true;64297;false;false
AllConstraints;v4;i21;7;48266;0.18;620.85;1,911.76;1,911.76;true;15.94;5091564;5817785;21519529;1218388;5218440;18794630;1;247,151.00;8,219.00;0.97;true;64297;false;false
