name,gurobi_model_rows_mean,gurobi_model_rows_stddev,gurobi_model_cols_mean,gurobi_model_cols_stddev,gurobi_model_nonzeros_mean,gurobi_model_nonzeros_stddev,gurobi_solution_count_mean,gurobi_solution_count_stddev,gurobi_best_objective_mean,gurobi_best_objective_stddev,gurobi_best_bound_mean,gurobi_best_bound_stddev,gurobi_mip_mean,gurobi_mip_stddev,gurobi_status,gurobi_presolve_removed_rows_mean,gurobi_presolve_removed_rows_stddev,gurobi_presolve_removed_cols_mean,gurobi_presolve_removed_cols_stddev,gurobi_presolve_runtime_mean,gurobi_presolve_runtime_stddev,observer_runtime_model_load_mean,observer_runtime_model_load_stddev,observer_runtime_preproc_mean,observer_runtime_preproc_stddev,observer_runtime_init_gips_mean,observer_runtime_init_gips_stddev,observer_runtime_pm_mean,observer_runtime_pm_stddev,observer_runtime_build_gips_mean,observer_runtime_build_gips_stddev,observer_runtime_build_solver_mean,observer_runtime_build_solver_stddev,observer_runtime_build_mean,observer_runtime_build_stddev,observer_runtime_solve_problem_mean,observer_runtime_solve_problem_stddev,observer_runtime_solution_application_mean,observer_runtime_solution_application_stddev,observer_runtime_gips_save_mean,observer_runtime_gips_save_stddev,observer_runtime_model_validate_mean,observer_runtime_model_validate_stddev,observer_runtime_postproc_mean,observer_runtime_postproc_stddev,observer_runtime_export_mean,observer_runtime_export_stddev,observer_runtime_total_mean,observer_runtime_total_stddev,script_runtime_mean,script_runtime_stddev,out_of_memory_mean,out_of_memory_stddev,preprocessing,total_constraints_mean,total_constraints_stddev,redundant_constraints_mean,redundant_constraints_stddev,useless_constraints_mean,useless_constraints_stddev,constraint_cleanup_runtime_mean,constraint_cleanup_runtime_stddev,solution_costs_mean,solution_costs_stddev,solution_unscheduled_mean,solution_unscheduled_stddev,solution_delay_mean,solution_delay_stddev,solution_openOt_mean,solution_openOt_stddev,solution_ageMix_mean,solution_ageMix_stddev,solution_skill_mean,solution_skill_stddev,solution_excess_mean,solution_excess_stddev,solution_continuity_mean,solution_continuity_stddev,solution_surgeon_transfer_mean,solution_surgeon_transfer_stddev
i01.json,108532.0,0.0,55256.0,0.0,358677.0,0.0,10.0,0.0,3868.6666666666665,15.965240019770729,3749.0,1.632993161855452,3.091466666666667,0.43107348432591974,TIMELIMIT;TIMELIMIT;TIMELIMIT,53696.0,0.0,23954.0,0.0,0.8633333333333333,0.012472191289246483,0.4301494336666667,0.0053261334196473215,0.22654601266666666,0.0032690071451377312,1.9500519203333333,0.021435567441611975,0.7009983433333334,0.02675936032454548,0.48859192366666665,0.019049158694545727,0.44580253133333336,0.0029097747127108703,1.6363678103333335,0.021566778494240497,3600.2064464403334,0.027392960199638588,0.12362848633333334,0.005500338817063088,0.14580009866666666,0.005706790152428139,0.097833131,3.0353236063721727E-4,-1.0,-1.0,0.14212202633333335,0.005772786309321026,3604.9759187976665,0.007585373078453156,3606.505333333333,0.059801523577802766,0.0,0.0,NO_GT,108753.0,0.0,0.0,0.0,221.0,0.0,0.14,0.008164965809277256,3868.6666666666665,15.965240019770729,2800.0,0.0,470.0,16.32993161855452,240.0,0.0,11.666666666666666,10.274023338281626,216.66666666666666,38.58612300930075,3.3333333333333335,4.714045207910317,127.0,1.632993161855452,0.0,0.0
i02.json,111205.0,0.0,57081.0,0.0,382671.0,0.0,10.0,0.0,1355.0,20.016659728003237,1040.0,25.46893532652409,23.254766666666665,1.0670968257639768,TIMELIMIT;TIMELIMIT;TIMELIMIT,51215.0,0.0,21901.0,0.0,0.9633333333333333,0.004714045207910321,0.43511519466666665,0.0017539869093457449,0.23413878199999996,9.020069140758576E-4,1.9673832636666668,0.00663740256938321,0.7053956566666667,0.018378806726890566,0.5090887766666667,0.010244642090117504,0.4579721856666666,0.007927004050129296,1.6734519610000003,0.02954441529000114,3600.2736360016665,0.06602697916730112,0.142460884,0.010104828982377316,0.15751122433333334,0.0030351050787042356,0.10068232533333334,0.00204788779849,-1.0,-1.0,0.14114045333333333,0.002333431655088321,3605.142074169333,0.04532458459231865,3606.6363333333334,0.05046671070009793,0.0,0.0,NO_GT,111476.0,0.0,0.0,0.0,271.0,0.0,0.15,0.0,1355.0,20.016659728003237,0.0,0.0,695.0,38.94440481849308,240.0,0.0,16.666666666666668,6.236095644623235,175.0,12.24744871391589,3.3333333333333335,4.714045207910317,225.0,7.788880963698615,0.0,0.0
i03.json,129355.0,0.0,66175.0,0.0,428057.0,0.0,10.0,0.0,10553.333333333334,2.3570226039551585,10168.333333333334,2.8674417556808756,3.6481,0.04753889635516028,TIMELIMIT;TIMELIMIT;TIMELIMIT,66419.0,0.0,28533.666666666668,0.4714045207910317,1.1033333333333335,0.004714045207910321,0.4370849896666667,0.0015328453366262567,0.2639297216666667,0.0014287790412732069,1.97948942,0.009141195268076205,0.7473766416666666,0.012805652463615867,0.5681960723333334,0.029397764707997463,0.5028998983333334,0.01330357425398716,1.8194183503333334,0.042355225069712774,3600.2371188816664,0.060023799655653715,0.14389963566666664,0.006251176938096769,0.23652927333333332,0.029874546425106303,0.12588485233333332,0.005087112456487166,-1.0,-1.0,0.18071141,0.016273515203732252,3605.4427266056664,0.1483580120565637,3606.966,0.07711031059463277,0.0,0.0,NO_GT,129507.0,0.0,0.0,0.0,152.0,0.0,0.18333333333333335,0.012472191289246473,10553.333333333334,2.3570226039551585,7600.0,0.0,1800.0,0.0,400.0,0.0,16.666666666666668,10.274023338281626,118.33333333333333,2.3570226039551585,0.0,0.0,618.3333333333334,9.428090415820634,0.0,0.0
i04.json,455421.0,0.0,231939.0,0.0,1709257.0,0.0,10.0,0.0,2151.0,82.85328398239062,1214.6666666666667,1.247219128924647,43.4421,2.285820528096349,TIMELIMIT;TIMELIMIT;TIMELIMIT,155552.0,0.0,66509.0,0.0,8.33,0.03741657386774004,0.448116532,0.007134169117448359,0.4549583973333333,0.005114939172935252,2.1786617656666665,0.0201226800459896,2.158273283333333,0.09943520107639242,1.6443149606666667,0.03373057085446691,1.600777031,0.05934343354603424,5.404388877666666,0.09392077105234968,3600.4703942893334,0.0060361313376489055,0.42572887633333334,0.026583731266704033,0.5542729140000001,0.05044462620002437,0.26232273766666664,0.021422147896131023,-1.0,-1.0,0.42373076866666665,0.02757713584295609,3610.6522670960003,0.11486383532936931,3611.9066666666663,0.1314973595002313,0.0,0.0,NO_GT,455769.0,0.0,0.0,0.0,348.0,0.0,0.6833333333333332,0.026246692913372675,2151.0,82.85328398239062,0.0,0.0,1130.0,73.824115301167,286.6666666666667,9.428090415820634,85.0,7.0710678118654755,180.0,5.0990195135927845,125.0,22.73030282830976,344.3333333333333,3.39934634239519,0.0,0.0
i05.json,1732122.0,0.0,877976.0,0.0,6677011.0,0.0,10.0,0.0,13176.0,57.39337940912697,12049.002156683333,317.16486393693737,8.562133333333334,2.0180531812175366,TIMELIMIT;TIMELIMIT;TIMELIMIT,555702.0,0.0,237612.0,0.0,48.15333333333333,0.18624953392931828,0.4538767776666666,0.004525985028912087,1.2436721403333333,0.06256802958569878,2.8225699336666668,0.055950005235929405,7.549939191,0.2936650058856916,5.44846101,0.13065830045604304,5.872753091333333,0.084187270163641,18.872344786,0.3846739258953603,3601.2472132829994,0.12889513089641652,1.659647401,0.12159152080952745,1.7041959806666667,0.028215247597461558,0.7747294353333333,0.04994641541670793,-1.0,-1.0,1.2778580126666668,0.020095143358544332,3630.126208869333,0.42607402625396146,3631.4239999999995,0.4289545430462363,0.0,0.0,NO_GT,1732720.0,0.0,0.0,0.0,598.0,0.0,2.58,0.14165686240583833,13176.0,57.39337940912697,8500.0,0.0,3816.6666666666665,61.282587702834114,480.0,0.0,10.0,4.08248290463863,36.666666666666664,9.428090415820634,3.3333333333333335,4.714045207910317,329.3333333333333,9.46337971105226,0.0,0.0
i06.json,944803.0,0.0,479290.0,0.0,3451061.0,0.0,10.0,0.0,10699.333333333334,6.548960901462833,10455.333333333334,1.699673171197595,2.2805000000000004,0.04437664550939689,TIMELIMIT;TIMELIMIT;TIMELIMIT,382502.3333333333,0.4714045207910317,166534.0,0.0,20.29,0.10424330514074609,0.45869520533333336,0.005645908459826838,0.9416447283333333,0.013457400061564219,2.456421149,0.0074817165635318005,3.996343762,0.10256235628044282,3.1852645396666666,0.056399022318922735,3.1560651526666668,0.031747190011373085,10.338794205333334,0.1477968532970328,3601.0934047513333,0.17815791669813968,0.8692679243333333,0.0664177994791875,1.0817142966666669,0.05902509428312664,0.585099472,0.06095896645361029,-1.0,-1.0,0.8438926050000001,0.06081757805564555,3618.71913128,0.1674406459914011,3619.973,0.16746940019009068,0.0,0.0,NO_GT,945285.0,0.0,0.0,0.0,482.0,0.0,1.5233333333333334,0.026246692913372727,10699.333333333334,6.548960901462833,9900.0,0.0,270.0,8.16496580927726,240.0,0.0,11.666666666666666,1.247219128924647,41.666666666666664,1.247219128924647,0.0,0.0,236.0,0.816496580927726,0.0,0.0
i07.json,1132974.0,0.0,581442.0,0.0,4573533.0,0.0,10.0,0.0,5758.666666666667,39.20317447463775,2018.6713408066669,6.234849807123806,64.94313333333332,0.3478592850884129,TIMELIMIT;TIMELIMIT;TIMELIMIT,317439.0,0.0,129722.0,0.0,27.91,0.19200694431886198,0.45573162466666667,0.001361944226906109,0.7789257983333333,0.036392531352827155,2.615571617,0.040877124696247935,4.949690051666667,0.06253119426138024,3.662720531666667,0.05818450586404805,3.9365741476666667,0.10325305279746817,12.550335731333334,0.180068180078783,3600.9112103373336,0.04154869174524161,1.083664127,0.05170656389024919,1.1096828429999999,0.018969820477975498,0.507515539,0.02684284677472873,-1.0,-1.0,0.875441346,0.042343608398182415,3620.9368122653327,0.16176893319944594,3622.2433333333333,0.18653745527951343,0.0,0.0,NO_GT,1133607.0,0.0,0.0,0.0,633.0,0.0,1.75,0.053541261347363416,5758.666666666667,39.20317447463775,0.0,0.0,2240.0,56.568542494923804,366.6666666666667,9.428090415820634,143.33333333333334,9.428090415820634,543.3333333333334,18.856180831641268,75.0,14.719601443879746,2390.0,36.2859017617954,0.3333333333333333,0.4714045207910317
i08.json,6428321.0,0.0,3256817.0,0.0,2.6134669E7,0.0,0.3333333333333333,0.4714045207910317,6691249.0,0.0,-1.0,-1.0,100.009,0.0,TIMELIMIT;OUT_OF_MEMORY;OUT_OF_MEMORY,1728872.0,0.0,728788.0,0.0,208.0533333333333,0.5677049311824608,0.487437731,0.005034020452484741,2.832463655333333,0.020049202052637976,4.507089914333333,0.022877741120060805,27.614365037333332,0.4210718070245769,19.958365956,0.13667896881229857,22.168693967333336,0.2260720672034701,69.74265669900001,0.24412710851336772,3605.049812577,0.0,5.709141091,0.0,5.005348924,0.0,2.305844374,0.0,-1.0,-1.0,15.96438888,0.0,3711.352252113,0.0,1942.1246666666666,1260.1419696950375,0.6666666666666666,0.4714045207910317,NO_GT,6429563.0,0.0,0.0,0.0,1242.0,0.0,10.566666666666666,0.17441967269268185,24929.0,0.0,4000.0,0.0,9430.0,0.0,2520.0,0.0,480.0,0.0,5830.0,0.0,701.0,0.0,1548.0,0.0,420.0,0.0
i09.json,1783732.0,0.0,905735.0,0.0,7150427.0,0.0,10.0,0.0,7864.0,142.4944443361448,2969.0,1.414213562373095,62.233466666666665,0.6742522047094496,TIMELIMIT;TIMELIMIT;TIMELIMIT,539000.0,0.0,228990.0,0.0,50.85333333333333,0.35264083081168496,0.4586521186666667,0.00893248083354533,1.2166655156666666,0.03268312792797148,2.7591134150000003,0.0922860900638772,7.258755156666666,0.43690546708730577,5.587037626,0.06601725010372093,6.050003637,0.08204272346048377,18.897157473666667,0.4596287870684113,3601.157241753,0.057184112593502465,1.4760032433333334,0.05662828502568591,1.5705294033333335,0.0829021484354434,0.7287332733333333,0.005913200812011394,-1.0,-1.0,1.389711902,0.11470478449058272,3629.7176506766664,0.28012940778163387,3630.995666666667,0.26922274957534287,0.0,0.0,NO_GT,1784261.0,0.0,0.0,0.0,529.0,0.0,2.7699999999999996,0.07788880963698606,7864.0,142.4944443361448,0.0,0.0,4450.0,93.54143466934853,446.6666666666667,9.428090415820634,176.66666666666666,22.48456260538674,150.66666666666666,8.806563209081936,220.0,5.715476066494082,2410.0,34.88074922742725,10.0,14.142135623730951
i10.json,1856359.0,0.0,945411.0,0.0,6933959.0,0.0,10.0,0.0,22938.333333333332,115.78236288638936,15116.666666666666,4.714045207910317,34.0969,0.35179391694570467,TIMELIMIT;TIMELIMIT;TIMELIMIT,667222.0,0.0,282507.0,0.0,49.03,0.2041241452319315,0.46819663499999997,0.0011851526535061468,1.4111117149999999,0.017006890233338345,2.821799185333333,0.025243618828953762,8.075942751333333,0.16353649909056073,5.960818374666666,0.15297092080142485,6.3844458956666665,0.04530733592537139,20.422444107666667,0.22079930901357633,3601.4204333183334,0.17683074194873652,1.7583663716666666,0.15654907455469,1.9813686166666666,0.11080197697991724,0.9539086036666666,0.017936401008268717,-1.0,-1.0,1.736133572,0.0928593237819814,3633.0417380019994,0.05225374129057207,3634.3123333333333,0.07929831159747482,0.0,0.0,NO_GT,1856873.0,0.0,0.0,0.0,514.0,0.0,2.9066666666666667,0.06649979114419996,22938.333333333332,115.78236288638936,14800.0,141.4213562373095,2596.6666666666665,37.04351795148811,460.0,0.0,273.3333333333333,4.714045207910317,1536.6666666666667,26.562295750848715,153.33333333333334,41.899350299921785,3118.3333333333335,22.484562605386735,0.0,0.0
