name;runtime preproc mean;runtime preproc stddev;runtime gips init mean;runtime gips init stddev;gurobi model rows mean;gurobi model rows stddev;gurobi model cols mean;gurobi model cols stddev;gurobi model nonzeros mean;gurobi model nonzeros stddev;guobi solution count mean;gurobi solution count stddev;gurobi best objective mean;gurobi best objective stddev;gurobi best bound mean;gurobi best bound stddev;gurobi mip mean;gurobi mip stddev;observer runtime model load mean;observer runtime model load stddev;observer runtime preproc mean;observer runtime preproc stddev;observer runtime init gips mean;observer runtime init gips stddev;observer runtime pm mean;observer runtime pm stddev;observer runtime build gips mean;observer runtime build gips stddev;observer runtime build solver mean;observer runtime build solver stddev;observer runtime build mean;observer runtime build stddev;observer runtime solve problem mean;observer runtime solve problem stddev;observer runtime solution application mean;observer runtime solution application stddev;observer runtime gips save mean;observer runtime gips save stddev;observer runtime model validate mean;observer runtime model validate stddev;observer runtime postproc mean;observer runtime postproc stddev;observer runtime export mean;observer runtime export stddev;observer runtime total mean;observer runtime total stddev
i11.json;1.5655;0.0550;3.0392;0.0420;2,901,465;0.0000;1,470,020;0.0000;11,815,901;0.0000;10.0000;0.0000;28,531.6667;788.1719;25,215.6667;13.0213;11.5532;2.4993;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;13.6091;0.2017;9.3283;0.1422;10.2111;0.1676;33.1499;0.3492;8,768.6230;1,248.2733;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i12.json;1.3097;0.0392;2.7449;0.0558;1,847,823;0.0000;944,509;0.0000;7,341,060;0.0000;7.0000;4.2426;2,285,567.3333;3,206,870.5944;6,622.3333;37.5618;75.2543;17.5296;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;8.5594;0.2091;6.3868;0.2079;6.5333;0.1757;21.4809;0.5855;7,201.4608;0.2825;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i13.json;1.3855;0.0842;2.7074;0.0128;1,621,810;0.0000;847,019;0.0000;6,464,156;0.0000;10.0000;0.0000;24,458.6667;335.4821;13,079.0000;23.3381;46.5167;0.6941;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;7.1711;0.3081;5.2387;0.0705;5.7975;0.1082;18.2087;0.3832;7,201.0069;0.1853;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i14.json;1.8665;0.1511;3.2370;0.0448;4,241,975;0.0000;2,157,884;0.0000;18,017,188;0.0000;0.6667;0.4714;14,549,219.5000;1,070.5000;5,034.0000;0.0000;99.9654;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;19.1771;1.2660;14.2226;0.0890;15.0891;0.0940;48.4901;1.2609;7,203.1876;0.0530;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i15.json;1.9777;0.0892;3.4318;0.0103;3,749,900;0.0000;1,928,981;0.0000;15,717,280;0.0000;4.0000;4.2426;16,407,762.0000;11,577,688.6592;6,426.3333;1.2472;93.8645;8.6399;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;16.7323;0.2861;12.2076;0.3973;13.2415;0.2772;42.1828;0.6610;7,203.1194;0.2129;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i16.json;1.6151;0.0389;3.2097;0.0306;3,304,908;0.0000;1,684,642;0.0000;13,663,492;0.0000;0.0000;0.0000;-1.0000;-1.0000;5,655.0000;1.4142;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i17.json;9.8224;0.1748;10.9236;0.1819;26,095,872;0.0000;13,258,694;0.0000;109,446,200;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i18.json;3.6416;0.1730;5.2678;0.0745;9,281,278;0.0000;4,708,224;0.0000;39,139,673;0.0000;1.0000;0.0000;51,020,528.3333;486.6349;4,690.3333;328.3254;99.9908;0.0007;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;42.5996;0.3944;29.0434;1.0475;33.3359;0.3447;104.9802;1.0016;7,213.4255;5.1357;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i19.json;11.8297;0.1201;12.2199;0.5090;37,498,644;0.0000;19,087,207;0.0000;164,352,455;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i20.json;1.9462;0.0907;3.3214;0.1309;3,124,066;0.0000;1,607,766;0.0000;12,921,916;0.0000;0.0000;0.0000;-1.0000;-1.0000;23,513.0000;187.4051;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i21.json;7.1482;0.1404;8.2897;0.0768;20,438,120;0.0000;10,427,837;0.0000;87,189,885;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i22.json;11.9009;0.1974;12.7056;0.1500;32,681,700;0.0000;16,663,390;0.0000;137,843,233;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i23.json;10.7669;0.2185;11.5568;0.1657;35,001,665;0.0000;17,739,497;0.0000;153,236,524;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i24.json;17.6817;0.3142;17.4270;0.4989;73,294,693;0.0000;37,109,364;0.0000;326,437,172;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i25.json;5.2132;0.0806;6.7846;0.1623;18,395,625;0.0000;9,363,321;0.0000;80,776,962;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i26.json;16.0106;0.0711;15.8971;0.1741;52,152,760;0.0000;26,577,014;0.0000;228,158,715;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i27.json;18.0985;0.1182;17.0987;0.4783;57,944,705;0.0000;29,547,940;0.0000;250,768,872;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i28.json;8.4532;0.0687;9.5126;0.1161;27,534,270;0.0000;13,985,830;0.0000;120,115,393;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i29.json;5.7718;0.0467;7.1316;0.2176;19,256,999;0.0000;9,879,598;0.0000;85,217,192;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
i30.json;8.7793;0.1556;9.5252;0.2295;26,803,741;0.0000;13,649,936;0.0000;116,243,195;0.0000;0.0000;0.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000;-1.0000
