name,runtime_preproc_mean,runtime_preproc_stddev,runtime_gips_init_mean,runtime_gips_init_stddev,gurobi_model_rows_mean,gurobi_model_rows_stddev,gurobi_model_cols_mean,gurobi_model_cols_stddev,gurobi_model_nonzeros_mean,gurobi_model_nonzeros_stddev,guobi_solution_count_mean,gurobi_solution_count_stddev,gurobi_best_objective_mean,gurobi_best_objective_stddev,gurobi_best_bound_mean,gurobi_best_bound_stddev,gurobi_mip_mean,gurobi_mip_stddev,observer_runtime_model_load_mean,observer_runtime_model_load_stddev,observer_runtime_preproc_mean,observer_runtime_preproc_stddev,observer_runtime_init_gips_mean,observer_runtime_init_gips_stddev,observer_runtime_pm_mean,observer_runtime_pm_stddev,observer_runtime_build_gips_mean,observer_runtime_build_gips_stddev,observer_runtime_build_solver_mean,observer_runtime_build_solver_stddev,observer_runtime_build_mean,observer_runtime_build_stddev,observer_runtime_solve_problem_mean,observer_runtime_solve_problem_stddev,observer_runtime_solution_application_mean,observer_runtime_solution_application_stddev,observer_runtime_gips_save_mean,observer_runtime_gips_save_stddev,observer_runtime_model_validate_mean,observer_runtime_model_validate_stddev,observer_runtime_postproc_mean,observer_runtime_postproc_stddev,observer_runtime_export_mean,observer_runtime_export_stddev,observer_runtime_total_mean,observer_runtime_total_stddev
i01.json,0.28080461866666667,0.011968957205227905,1.9744746333333334,0.022901513594696984,108532.0,0.0,55256.0,0.0,358677.0,0.0,10.0,0.0,3855.6666666666665,7.133644853010899,3763.3333333333335,1.247219128924647,2.3944000000000005,0.1866763152268296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6823658433333333,0.014114031495988444,0.49409133600000005,0.007189299313686454,0.4739748136666666,0.022078292710589285,1.651557164333333,0.02855387989952068,7200.561931267333,0.10816763430557885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i02.json,0.2698128576666667,0.012051715175616127,1.9434874426666664,0.01052780834132493,111205.0,0.0,57081.0,0.0,382671.0,0.0,10.0,0.0,1321.6666666666667,4.109609335312651,1069.0,2.943920288775949,19.11583333333333,0.4728197001911915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6944500566666667,0.014009097448644467,0.5091957480000001,0.0019778990052383163,0.47980537966666664,0.0178124430932895,1.6846644366666668,0.030165735175387544,7200.231435548333,0.06157611160387703,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i03.json,0.31223924566666666,0.022673429161835765,1.9780008586666666,0.004655393613322786,129355.0,0.0,66175.0,0.0,428057.0,0.0,10.0,0.0,10543.333333333334,18.408935028645434,10207.666666666666,15.92342788332825,3.1831666666666667,0.31588648101634376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.850566292,0.03327244166142027,0.5797842803333333,0.0124474487360391,0.5098086776666667,0.0020092913387852545,1.9413431939999999,0.043539399275040865,7200.281708585,0.018932517265210363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i04.json,0.49259441200000004,0.01617982435202374,2.1830624789999997,0.01221336340369591,455421.0,0.0,231939.0,0.0,1709257.0,0.0,10.0,0.0,2113.6666666666665,12.710450643291745,1259.0,3.7416573867739413,40.432066666666664,0.5303204146760918,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.1548494259999997,0.05010132446944392,1.6950809940000002,0.029474914808902176,1.590463307,0.026786491467738795,5.441681038333333,0.05924285042917601,7658.505400112,502.6190548445788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i05.json,1.2909709173333332,0.031385028714174285,2.754302779,0.045216270074788414,1732122.0,0.0,877976.0,0.0,6677011.0,0.0,10.0,0.0,13312.666666666666,38.784303812524755,12390.666666666666,9.568466729604882,6.924900000000001,0.29437983400135753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.941582462666666,0.14765135021525833,5.482877359333333,0.015476925334708059,6.1736850809999995,0.06525769353434434,19.599591029,0.10203633307209554,7201.088548600666,0.0774795053770083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i06.json,1.0479504009999998,0.012606714781993168,2.460624562,0.006041786095700392,944803.0,0.0,479290.0,0.0,3451061.0,0.0,10.0,0.0,10709.666666666666,8.013876853447538,10466.666666666666,8.956685895029603,2.2689999999999997,0.020782845490131218,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.086648793333333,0.18024790886579034,3.1601748463333337,0.05267825896658886,3.2584555723333337,0.05581114922138611,10.506710097666666,0.2686144899285536,7200.620480251334,0.09878686506861975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i07.json,0.8128660993333333,0.009507816215237374,2.5032071226666663,0.03433838893573466,1132974.0,0.0,581442.0,0.0,4573533.0,0.0,10.0,0.0,6395.666666666667,399.87109033898525,2081.3333333333335,11.32352516764202,67.33756666666666,1.920265419732964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.853937565,0.15249914382402455,3.7578124010000002,0.06768757294841983,3.8734919056666666,0.08787954076601534,12.486607863666665,0.21932210092092105,7200.857975802,0.05594007351832769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i08.json,3.0204553556666665,0.05035608379643731,4.596523003333333,0.05624009807519055,6428321.0,0.0,3256817.0,0.0,2.6134669E7,0.0,0.6666666666666666,0.4714045207910317,6691658.0,563.0,-1.0,-1.0,100.0145,1.0000000000331966E-4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.403605847,0.7654487640000003,19.979477537500003,0.1276457104999995,23.2445031755,0.17967695049999932,70.629006362,0.4580667900000037,7205.0275076,0.032713239999793586,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i09.json,1.2236071483333333,0.016575083739221966,2.7288479156666665,0.06793599761849389,1783732.0,0.0,905735.0,0.0,7150427.0,0.0,10.0,0.0,11456.0,1423.2654940897944,3560.0,9.201449161228174,68.42163333333333,4.0572428933397084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.047045326000001,0.3417880083375013,5.888265695333334,0.15183286170580013,6.426202690333334,0.051976513579427064,20.362849210666667,0.5037218447431256,7201.064126566667,0.011666269960651947,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i10.json,1.5229534173333334,0.02068832024791371,2.8449174286666667,0.014985990026984211,1856359.0,0.0,945411.0,0.0,6933959.0,0.0,10.0,0.0,27200.0,1191.8123454078946,15231.666666666666,48.36206042848969,43.904133333333334,2.216368767952561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.944379010333333,0.27131869747664894,5.838844904666666,0.15943171202676187,6.479416941,0.043858852090539344,20.264052564,0.15763377443893062,7201.458630744667,0.23763118277473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
