name;sampleSize;memoryMB (m);memoryMB (sd);memoryMB (max);memoryMB (min);preprocessingTimeS (m);preprocessingTimeS (sd);totalCompileTimeS (m);totalCompileTimeS (sd);presolveTimeS (m);presolveTimeS (sd);originalConstraints (m);originalConstraints (sd);originalConstraints (max);originalVariables (m);originalVariables (sd);originalVariables (max);originalCoefficients (m);originalCoefficients (sd);originalCoefficients (max);presolvedConstraints (m);presolvedConstraints (sd);presolvedVariables (m);presolvedVariables (sd);presolvedCoefficients (m);presolvedCoefficients (sd);numberOfSolutions (m);numberOfSolutions (sd);bestObjective (m);bestObjective (sd);bestObjective (min);bestObjective10m (m);bestObjective10m (sd);bestObjective10m (min);bestBound (m);bestBound (sd);mipGap (m);mipGap (sd);objectiveByValidator (m);objectiveByValidator (sd);foundSolution;solverCrash;compileCrash
i14;3;13509.00;0.00;13509.00;13509.00;0.1773;0.0039;540.80;2.1785;34.3533;0.2829;1420301.00;0.00;1420301.00;1690460.00;0.00;1690460.00;5710167.00;0.00;5710167.00;325529.3333;296.5134;1477276.00;106.066;4851041.6667;2605.9242;10.00;0.00;22473.6667;668.4516;22001.00;22473.6667;668.4516;22001.00;5322.00;0.00;76.2984;0.6905;22473.6667;668.4516;3;0;0
i15;3;11046.00;0.00;11046.00;11046.00;0.18;0.0043;437.07;0.1393;42.5867;0.3675;1168837.00;0.00;1168837.00;1380804.00;0.00;1380804.00;4897581.00;0.00;4897581.00;276952.3333;44.7834;1111756.00;9734.0319;3729156.00;37572.8259;10.00;0.00;27180.00;832.4674;26569.00;27180.00;832.4674;26569.00;5931.00;0.00;78.1587;0.6548;27180.00;832.4674;3;0;0
i16;3;9099.00;0.00;9099.00;9099.00;0.1833;0.0017;377.3033;0.924;40.6133;0.3997;962898.00;0.00;962898.00;1190237.00;0.00;1190237.00;3984793.00;0.00;3984793.00;240871.3333;66.5649;1043540.3333;176.9036;3365083.6667;293.101;1.00;0.00;76675.00;0.00;76675.00;0.00;0.00;-1.00;4068.00;0.00;94.6945;0.00;25803.00;0.00;1;0;0
i17;3;56517.00;0.00;56517.00;56517.00;0.2063;0.0122;2311.9033;9.6008;19.72;0.1657;6084632.00;0.00;6084632.00;6909606.00;0.00;6909606.00;26612543.00;0.00;26612543.00;1516978.00;0.00;6495540.00;0.00;23724915.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;17640.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i18;3;30023.00;0.00;30023.00;30023.00;0.1903;0.0005;1326.38;1.7374;11.31;0.0374;3483770.00;0.00;3483770.00;4016814.00;0.00;4016814.00;14557648.00;0.00;14557648.00;792748.6667;0.4714;3622306.00;7.7889;12933751.00;15.5778;1.00;0.00;112930.00;1712.1193;110593.00;0.00;0.00;-1.00;35983.00;0.00;68.1295;0.4869;59817.3333;1391.5469;3;0;0
i19;3;101644.00;0.00;101644.00;101644.00;0.2367;0.0167;4579.5967;19.153;15.9067;0.2859;11907324.00;0.00;11907324.00;13306054.00;0.00;13306054.00;50241369.00;0.00;50241369.00;2467255.00;0.00;11700076.00;0.00;42549132.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;3;0
i20;3;9089.00;0.00;9089.00;9089.00;0.2083;0.0132;395.0633;1.4193;50.6767;0.3112;991525.00;0.00;991525.00;1232710.00;0.00;1232710.00;4197988.00;0.00;4197988.00;236595.00;72.1249;1048234.6667;3.2998;3406931.6667;418.1358;10.00;0.00;46082.00;0.00;46082.00;46087.00;0.00;46087.00;20500.00;138.5929;55.9394;0.00;46079.00;0.00;1;0;0
i21;3;48266.00;0.00;48266.00;48266.00;0.1897;0.0096;1914.7267;10.7877;16.09;0.1715;5091564.00;0.00;5091564.00;5817785.00;0.00;5817785.00;21519529.00;0.00;21519529.00;1218385.00;4.2426;5218431.00;12.7279;18794612.00;25.4558;1.00;0.00;249033.3333;2662.0213;247151.00;0.00;0.00;-1.00;8871.6667;923.0101;96.4411;0.3301;65244.6667;1340.2031;3;0;0
i22;3;45515.00;17167.1384;69793.00;33376.00;0.2027;0.0147;2041.6033;689.8681;10.2267;0.4479;7762439.00;103073.5413;7835323.00;9041280.00;245155.3353;9214631.00;33103789.6667;613541.4691;33537629.00;1857266.00;540.9368;7966244.6667;199790.4283;28449289.3333;728444.9068;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;25120.3333;11.1455;0.00;0.00;0.00;0.00;0;0;0
i23;3;72582.00;31078.7572;116534.00;50606.00;0.2253;0.0366;3387.6033;1197.6043;23.83;10.1682;13119990.3333;127488.0528;13210138.00;14812296.6667;291160.1738;15018178.00;54784263.6667;723949.1219;55296173.00;2660593.3333;11758.243;12782037.00;785950.6015;46289163.00;2900102.2965;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;205.00;0.00;0.00;0.00;0.00;0.00;0;1;0
i24;3;70379.00;0.00;70379.00;70379.00;0.2083;0.0109;3273.8833;28.3976;21.3533;0.0236;17332709.00;0.00;17332709.00;19819382.00;0.00;19819382.00;70638367.00;0.00;70638367.00;3349982.6667;0.4714;16351558.6667;0.4714;58361158.3333;0.9428;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;3;0
i25;3;27917.6667;10140.8541;42259.00;20747.00;0.21;0.0071;1235.17;433.1454;6.1467;0.3633;4967116.3333;22559.0633;4983068.00;5682911.00;57677.2859;5723695.00;19955704.3333;144300.2236;20057740.00;1179469.3333;470.4617;4970091.3333;1036.1471;17407226.6667;3506.3068;1.00;0.00;123949.00;429.9209;123645.00;0.00;0.00;-1.00;4488.00;0.00;96.3791;0.0125;33224.6667;460.5622;3;0;0
i26;3;82582.3333;35333.183;132551.00;57598.00;0.1937;0.0033;4321.6133;2051.0968;26.3433;10.576;14791829.3333;133501.2889;14886229.00;16866755.3333;308839.729;17085138.00;62021820.3333;764104.7732;62562124.00;2919540.6667;2314.5962;14778437.6667;686611.5268;53440848.3333;2626817.3107;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;3;0
i27;3;69828.00;0.00;69828.00;69828.00;0.2123;0.0121;3219.4233;37.4532;21.54;0.2255;17292649.00;0.00;17292649.00;19614293.00;0.00;19614293.00;73070806.00;0.00;73070806.00;3246267.00;0.00;16653115.00;0.00;60665366.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;3;0
i28;3;42925.00;18909.4495;69667.00;29554.00;0.216;0.0036;1951.7067;632.3467;10.6133;0.2034;7556376.3333;162795.3086;7671490.00;8837735.6667;265188.1418;9025252.00;30916292.3333;640406.3413;31369128.00;1745131.6667;5446.6078;7918321.3333;473879.3945;27681387.6667;1680293.1301;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;46999.3333;26711.9015;0.00;0.00;0.00;0.00;0;0;0
i29;3;31760.6667;13448.6996;50780.00;22251.00;0.1937;0.0144;1442.5733;493.378;7.35;0.2566;5820785.3333;29326.0752;5841522.00;6682163.00;60884.7223;6725215.00;23242973.6667;151005.953;23349751.00;1331926.3333;1504.2518;5837249.6667;4834.2534;20269897.6667;18601.6224;1.00;0.00;113871.00;1411.3851;111875.00;0.00;0.00;-1.00;6412.3666;0.4479;94.3678;0.0708;63508.6667;1066.7884;3;0;0
i30;3;45994.6667;20761.5979;75356.00;31314.00;0.189;0.0008;2071.6133;676.9689;10.99;0.4121;8001703.6667;125466.6702;8090423.00;9335968.00;239921.3309;9505619.00;32919051.00;588277.4866;33335029.00;1833839.00;1233.1942;8411025.00;530634.1418;29527464.6667;1909974.1405;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;8213.00;8761.0101;0.00;0.00;0.00;0.00;0;0;0
