name;sampleSize;memoryMB;preprocessingTimeS mean;preprocessingTimeS stddev;totalCompileTimeS mean;totalCompileTimeS stddev;presolveTimeS mean;presolveTimeS stddev;originalConstraints mean;originalConstraints stddev;originalVariables mean;originalVariables stddev;originalCoefficients mean;originalCoefficients stddev;presolvedConstraints mean;presolvedConstraints stddev;presolvedVariables mean;presolvedVariables stddev;presolvedCoefficients mean;presolvedCoefficients stddev;numberOfSolutions mean;numberOfSolutions stddev;bestObjective mean;bestObjective stddev;bestBound mean;bestBound stddev;mipGap mean;mipGap stddev;solverCrash
i19;3;101644;0.2367;0.0167;4,579.5967;19.1530;15.9067;0.2859;11,907,324.0000;0.0000;13,306,054.0000;0.0000;50,241,369.0000;0.0000;2,467,255.0000;0.0000;11,700,076.0000;0.0000;42,549,132.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3
i20;3;9089;0.2083;0.0132;395.0633;1.4193;50.6767;0.3112;991,525.0000;0.0000;1,232,710.0000;0.0000;4,197,988.0000;0.0000;236,595.0000;72.1249;1,048,234.6667;3.2998;3,406,931.6667;418.1358;3.3333;4.7140;15,360.6667;21,723.2631;20,500.0000;138.5929;0.1865;0.2637;0
i21;3;48266;0.1897;0.0096;1,914.7267;10.7877;16.0900;0.1715;5,091,564.0000;0.0000;5,817,785.0000;0.0000;21,519,529.0000;0.0000;1,218,385.0000;4.2426;5,218,431.0000;12.7279;18,794,612.0000;25.4558;1.0000;0.0000;249,033.3333;2,662.0213;8,871.6667;923.0101;0.9644;0.0033;0
i22;1;69793;0.1890;0.0000;3,017.2200;0.0000;10.8600;0.0000;7,616,671.0000;0.0000;8,694,578.0000;0.0000;32,236,111.0000;0.0000;1,856,501.0000;0.0000;8,248,791.0000;0.0000;29,479,466.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25,135.0000;0.0000;0.0000;0.0000;0
i23;1;116534;0.2760;0.0000;5,081.2500;0.0000;38.2100;0.0000;12,939,695.0000;0.0000;14,400,534.0000;0.0000;53,760,445.0000;0.0000;2,677,222.0000;0.0000;13,893,539.0000;0.0000;50,390,527.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
i25;1;42259;0.2040;0.0000;1,847.7300;0.0000;6.6600;0.0000;4,935,213.0000;0.0000;5,601,343.0000;0.0000;19,751,633.0000;0.0000;1,178,804.0000;0.0000;4,968,626.0000;0.0000;17,402,268.0000;0.0000;1.0000;0.0000;124,557.0000;0.0000;4,488.0000;0.0000;0.9640;0.0000;0
i26;1;132551;0.1900;0.0000;7,222.2700;0.0000;41.3000;0.0000;14,603,030.0000;0.0000;16,429,990.0000;0.0000;60,941,213.0000;0.0000;2,922,814.0000;0.0000;15,749,453.0000;0.0000;57,155,729.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
i28;1;69667;0.2210;0.0000;2,845.9700;0.0000;10.9000;0.0000;7,326,149.0000;0.0000;8,462,703.0000;0.0000;30,010,621.0000;0.0000;1,737,429.0000;0.0000;8,588,488.0000;0.0000;30,057,681.0000;0.0000;0.0000;0.0000;0.0000;0.0000;65,888.0000;0.0000;0.0000;0.0000;0
i29;1;50780;0.2140;0.0000;2,140.2400;0.0000;7.7100;0.0000;5,779,312.0000;0.0000;6,596,059.0000;0.0000;23,029,419.0000;0.0000;1,329,799.0000;0.0000;5,830,413.0000;0.0000;20,243,591.0000;0.0000;1.0000;0.0000;111,875.0000;0.0000;6,413.0000;0.0000;0.9427;0.0000;0
i30;1;75356;0.1890;0.0000;3,028.8800;0.0000;11.5600;0.0000;7,824,267.0000;0.0000;8,996,668.0000;0.0000;32,087,101.0000;0.0000;1,835,583.0000;0.0000;9,161,455.0000;0.0000;32,228,576.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3,607.0000;0.0000;0.0000;0.0000;0
