name;sampleSize;memoryMB (m);memoryMB (sd);memoryMB (max);preprocessingTimeS (m);preprocessingTimeS (sd);totalCompileTimeS (m);totalCompileTimeS (sd);presolveTimeS (m);presolveTimeS (sd);originalConstraints (m);originalConstraints (sd);originalConstraints (max);originalVariables (m);originalVariables (sd);originalVariables (max);originalCoefficients (m);originalCoefficients (sd);originalCoefficients (max);presolvedConstraints (m);presolvedConstraints (sd);presolvedVariables (m);presolvedVariables (sd);presolvedCoefficients (m);presolvedCoefficients (sd);numberOfSolutions (m);numberOfSolutions (sd);bestObjective (m);bestObjective (sd);BestObjective (max);bestBound (m);bestBound (sd);mipGap (m);mipGap (sd);objectiveByValidator (m);objectiveByValidator (sd);solverCrash;compileCrash
i22;2;33376.00;0.00;33376.00;0.2095;0.0135;1553.795;2.455;9.91;0.01;7835323.00;0.00;7835323.00;9214631.00;0.00;9214631.00;33537629.00;0.00;33537629.00;1857648.50;0.50;7824971.50;0.50;27934201.00;1.00;0.00;0.00;-1.00;0.00;-1.00;25113.00;5.00;-1.00;0.00;-1.00;0.00;0;0
i23;2;50606.00;0.00;50606.00;0.20;0.009;2540.78;7.40;16.64;0.04;13210138.00;0.00;13210138.00;15018178.00;0.00;15018178.00;55296173.00;0.00;55296173.00;2652279.00;0.00;12226286.00;0.00;44238481.00;0.00;0.00;0.00;-1.00;0.00;-1.00;205.00;0.00;-1.00;0.00;-1.00;0.00;0;0
i24;3;70379.00;0.00;70379.00;0.2083;0.0109;3273.8833;28.3976;21.3533;0.0236;17332709.00;0.00;17332709.00;19819382.00;0.00;19819382.00;70638367.00;0.00;70638367.00;3349982.6667;0.4714;16351558.6667;0.4714;58361158.3333;0.9428;0.00;0.00;-1.00;0.00;-1.00;-1.00;0.00;-1.00;0.00;-1.00;0.00;3;0
i25;2;20747.00;0.00;20747.00;0.213;0.007;928.89;0.20;5.89;0.02;4983068.00;0.00;4983068.00;5723695.00;0.00;5723695.00;20057740.00;0.00;20057740.00;1179802.00;0.00;4970824.00;0.00;17409706.00;0.00;1.00;0.00;123645.00;0.00;123645.00;4488.00;0.00;0.9637;0.00;32899.00;0.00;0;0
i26;2;57598.00;0.00;57598.00;0.1955;0.0025;2871.285;11.855;18.865;0.045;14886229.00;0.00;14886229.00;17085138.00;0.00;17085138.00;62562124.00;0.00;62562124.00;2917904.00;0.00;14292930.00;0.00;51583408.00;0.00;0.00;0.00;-1.00;0.00;-1.00;-1.00;0.00;-1.00;0.00;-1.00;0.00;2;0
i27;3;69828.00;0.00;69828.00;0.2123;0.0121;3219.4233;37.4532;21.54;0.2255;17292649.00;0.00;17292649.00;19614293.00;0.00;19614293.00;73070806.00;0.00;73070806.00;3246267.00;0.00;16653115.00;0.00;60665366.00;0.00;0.00;0.00;-1.00;0.00;-1.00;-1.00;0.00;-1.00;0.00;-1.00;0.00;3;0
i28;2;29554.00;0.00;29554.00;0.2135;0.0005;1504.575;3.645;10.47;0.02;7671490.00;0.00;7671490.00;9025252.00;0.00;9025252.00;31369128.00;0.00;31369128.00;1748983.00;0.00;7583238.00;0.00;26493241.00;0.00;0.00;0.00;-1.00;0.00;-1.00;37555.00;28332.00;-1.00;0.00;-1.00;0.00;0;0
i29;2;22251.00;0.00;22251.00;0.1835;0.0015;1093.74;8.87;7.17;0.04;5841522.00;0.00;5841522.00;6725215.00;0.00;6725215.00;23349751.00;0.00;23349751.00;1332990.00;0.00;5840668.00;0.00;20283051.00;0.00;1.00;0.00;114869.00;0.00;114869.00;6412.0499;0.00;0.9442;0.00;64263.00;0.00;0;0
i30;2;31314.00;0.00;31314.00;0.189;0.001;1592.98;12.68;10.705;0.105;8090422.00;1.00;8090421.00;9505618.00;1.00;9505617.00;33335026.00;3.00;33335023.00;1832967.00;0.00;8035810.00;0.00;28176909.00;0.00;0.00;0.00;-1.00;0.00;-1.00;10516.00;9961.00;-1.00;0.00;-1.00;0.00;0;0
