name;sampleSize;memoryMB (m);memoryMB (sd);memoryMB (max);memoryMB (min);preprocessingTimeS (m);preprocessingTimeS (sd);totalCompileTimeS (m);totalCompileTimeS (sd);presolveTimeS (m);presolveTimeS (sd);originalConstraints (m);originalConstraints (sd);originalConstraints (max);originalVariables (m);originalVariables (sd);originalVariables (max);originalCoefficients (m);originalCoefficients (sd);originalCoefficients (max);presolvedConstraints (m);presolvedConstraints (sd);presolvedVariables (m);presolvedVariables (sd);presolvedCoefficients (m);presolvedCoefficients (sd);numberOfSolutions (m);numberOfSolutions (sd);bestObjective (m);bestObjective (sd);bestObjective (min);bestObjective10m (m);bestObjective10m (sd);bestObjective10m (min);bestBound (m);bestBound (sd);mipGap (m);mipGap (sd);objectiveByValidator (m);objectiveByValidator (sd);foundSolution;solverCrash;compileCrash
i01;1;3906.00;0.00;3906.00;3906.00;0.194;0.00;150.62;0.00;10.56;0.00;679717.00;0.00;679717.00;1108166.00;0.00;1108166.00;3112565.00;0.00;3112565.00;107697.00;0.00;217095.00;0.00;630492.00;0.00;10.00;0.00;3861.00;0.00;3861.00;3861.00;0.00;3861.00;3194.00;0.00;17.2753;0.00;3861.00;0.00;1;0;0
i02;1;6833.00;0.00;6833.00;6833.00;0.141;0.00;275.81;0.00;18.86;0.00;1191356.00;0.00;1191356.00;1981671.00;0.00;1981671.00;5481303.00;0.00;5481303.00;156757.00;0.00;331784.00;0.00;942638.00;0.00;10.00;0.00;1325.00;0.00;1325.00;1325.00;0.00;1325.00;598.00;0.00;54.8679;0.00;1325.00;0.00;1;0;0
i03;1;4721.00;0.00;4721.00;4721.00;0.156;0.00;211.10;0.00;15.09;0.00;947095.00;0.00;947095.00;1524242.00;0.00;1524242.00;4271645.00;0.00;4271645.00;160732.00;0.00;322126.00;0.00;930958.00;0.00;10.00;0.00;10555.00;0.00;10555.00;10555.00;0.00;10555.00;9797.00;0.00;7.1814;0.00;10555.00;0.00;1;0;0
i04;1;25081.00;0.00;25081.00;25081.00;0.169;0.00;1033.75;0.00;74.17;0.00;4350608.00;0.00;4350608.00;7517527.00;0.00;7517527.00;20890980.00;0.00;20890980.00;507448.00;0.00;1143987.00;0.00;3246149.00;0.00;10.00;0.00;4621.00;0.00;4621.00;4621.00;0.00;4621.00;1038.00;0.00;77.5373;0.00;4621.00;0.00;1;0;0
i05;1;85235.00;0.00;85235.00;85235.00;0.184;0.00;3767.91;0.00;329.69;0.00;14138811.00;0.00;14138811.00;25110715.00;0.00;25110715.00;69950029.00;0.00;69950029.00;1652816.00;0.00;3833022.00;0.00;10834108.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;12103.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i06;1;46141.00;0.00;46141.00;46141.00;0.184;0.00;1971.53;0.00;143.69;0.00;7777933.00;0.00;7777933.00;13307498.00;0.00;13307498.00;36849383.00;0.00;36849383.00;946232.00;0.00;2136612.00;0.00;6113029.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;10313.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i07;1;70182.00;0.00;70182.00;70182.00;0.171;0.00;3185.89;0.00;282.28;0.00;12729133.00;0.00;12729133.00;22102264.00;0.00;22102264.00;60976971.00;0.00;60976971.00;1231199.00;0.00;2921885.00;0.00;8176069.00;0.00;10.00;0.00;14055.00;0.00;14055.00;14055.00;0.00;14055.00;2844.00;0.00;79.7652;0.00;14055.00;0.00;1;0;0
i08;1;-1.00;0.00;-1.00;-1.00;0.201;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i09;1;74040.00;0.00;74040.00;74040.00;0.171;0.00;3377.70;0.00;294.25;0.00;13600234.00;0.00;13600234.00;23483168.00;0.00;23483168.00;64625446.00;0.00;64625446.00;1485495.00;0.00;3467515.00;0.00;9653969.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;1883.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i10;1;91256.00;0.00;91256.00;91256.00;0.188;0.00;3978.05;0.00;349.23;0.00;16127625.00;0.00;16127625.00;27914298.00;0.00;27914298.00;77623028.00;0.00;77623028.00;1998141.00;0.00;4717174.00;0.00;13342418.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;2490.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i11;1;-1.00;0.00;-1.00;-1.00;0.183;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i12;1;97799.00;0.00;97799.00;97799.00;0.194;0.00;4272.71;0.00;423.74;0.00;17407071.00;0.00;17407071.00;30070660.00;0.00;30070660.00;82713849.00;0.00;82713849.00;1473906.00;0.00;3482919.00;0.00;9809689.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;2373.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i13;1;78890.00;0.00;78890.00;78890.00;0.183;0.00;3481.13;0.00;308.20;0.00;13577503.00;0.00;13577503.00;23543197.00;0.00;23543197.00;65418619.00;0.00;65418619.00;1567513.00;0.00;3552051.00;0.00;10031322.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;8462.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i14;1;-1.00;0.00;-1.00;-1.00;0.187;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i15;1;-1.00;0.00;-1.00;-1.00;0.178;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i16;1;-1.00;0.00;-1.00;-1.00;0.199;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i17;1;-1.00;0.00;-1.00;-1.00;0.188;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i18;1;-1.00;0.00;-1.00;-1.00;0.192;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i19;1;-1.00;0.00;-1.00;-1.00;0.20;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
i20;1;-1.00;0.00;-1.00;-1.00;0.178;0.00;-1.00;0.00;-1.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;1;1
