name;gurobi model rows mean;gurobi model rows stddev;gurobi model cols mean;gurobi model cols stddev;gurobi model nonzeros mean;gurobi model nonzeros stddev;gurobi solution count mean;gurobi solution count stddev;gurobi best objective mean;gurobi best objective stddev;gurobi best bound mean;gurobi best bound stddev;gurobi mip mean;gurobi mip stddev;gurobi status;gurobi presolve removed rows mean;gurobi presolve removed rows stddev;gurobi presolve removed cols mean;gurobi presolve removed cols stddev;gurobi presolve removed nonzeros mean;gurobi presolve removed nonzeros stddev;gurobi presolve runtime mean;gurobi presolve runtime stddev;observer runtime model load mean;observer runtime model load stddev;observer runtime preproc mean;observer runtime preproc stddev;observer runtime init gips mean;observer runtime init gips stddev;observer runtime pm mean;observer runtime pm stddev;observer runtime build gips mean;observer runtime build gips stddev;observer runtime build solver mean;observer runtime build solver stddev;observer runtime build mean;observer runtime build stddev;observer runtime solve problem mean;observer runtime solve problem stddev;observer runtime solution application mean;observer runtime solution application stddev;observer runtime gips save mean;observer runtime gips save stddev;observer runtime model validate mean;observer runtime model validate stddev;observer runtime postproc mean;observer runtime postproc stddev;observer runtime export mean;observer runtime export stddev;observer runtime total mean;observer runtime total stddev;script runtime mean;script runtime stddev;out of memory mean;out of memory stddev;preprocessing;total constraints mean;total constraints stddev;redundant constraints mean;redundant constraints stddev;useless constraints mean;useless constraints stddev;constraint cleanup runtime mean;constraint cleanup runtime stddev;solution costs mean;solution costs stddev;solution unscheduled mean;solution unscheduled stddev;solution delay mean;solution delay stddev;solution openOt mean;solution openOt stddev;solution ageMix mean;solution ageMix stddev;solution skill mean;solution skill stddev;solution excess mean;solution excess stddev;solution continuity mean;solution continuity stddev;solution surgeon transfer mean;solution surgeon transfer stddev
i11;2901465;0.00;1470020;0.00;11815901;0.00;10.00;0.00;29246.6667;1614.7372;24957.6667;19.9053;14.4077;4.6606;TIMELIMIT,TIMELIMIT,TIMELIMIT;727043.00;0.00;308157.00;0.00;1598743.00;22.6274;91.42;0.2551;0.4638;0.0007;1.4603;0.043;3.1204;0.0583;13.5175;0.3391;9.2427;0.2279;9.9079;0.1083;32.6693;0.4418;3602.5973;1.0317;2.6737;0.1865;2.1144;0.0546;1.0201;0.0753;-1.00;-1.00;1.9208;0.0813;3648.1084;1.0334;3649.427;1.0326;0.00;0.00;NO_GT;2902168.00;0.00;0.00;0.00;703.00;0.00;4.8333;0.1112;29246.6667;1614.7372;27666.6667;1699.6732;646.6667;57.2033;520.00;14.1421;14.6667;6.7987;53.00;14.3527;16.6667;23.5702;329.00;10.9848;0.00;0.00
i12;1847823;0.00;944509;0.00;7341060;0.00;10.00;0.00;16189.3333;479.1968;6442.00;5.7155;60.1731;1.1908;TIMELIMIT,TIMELIMIT,TIMELIMIT;601016.00;0.00;257445.00;0.00;1466421.00;0.00;50.4033;0.1862;0.4595;0.0053;1.2411;0.0256;2.732;0.0909;8.3332;0.5752;6.0735;0.2658;6.368;0.2049;20.7759;0.8491;3601.163;0.0257;1.7606;0.0534;1.6984;0.0316;0.7555;0.041;-1.00;-1.00;1.3336;0.0964;3631.9887;0.8663;3633.266;0.851;0.00;0.00;NO_GT;1848472.00;0.00;0.00;0.00;649.00;0.00;3.02;0.1445;16189.3333;479.1968;7600.00;432.0494;1585.00;46.3681;750.00;24.4949;71.00;3.7417;1880.00;118.603;965.00;7.0711;3325.00;110.0757;13.3333;4.714
i13;1621810;0.00;847019;0.00;6464156;0.00;10.00;0.00;22462.3333;1091.4688;12693.3333;230.9897;43.4014;1.909;TIMELIMIT,TIMELIMIT,TIMELIMIT;566193.00;0.00;222362.00;0.00;1355118.00;0.00;40.2567;0.1812;0.4697;0.0053;1.3452;0.0681;2.7078;0.0203;7.00;0.2177;5.1989;0.1792;5.5815;0.0754;17.7816;0.061;3601.1817;0.0876;1.5496;0.0579;1.6914;0.0255;0.8065;0.0366;-1.00;-1.00;1.5908;0.0989;3629.1914;0.1126;3630.4577;0.1204;0.00;0.00;NO_GT;1622324.00;0.00;0.00;0.00;514.00;0.00;2.4867;0.1223;22462.3333;1091.4688;11500.00;1471.9601;6920.00;382.2957;296.6667;9.4281;271.6667;30.6413;262.3333;23.5844;315.00;31.8224;2893.3333;45.5217;3.3333;4.714
i14;4241975;0.00;2157884;0.00;18017188;0.00;4.00;4.2426;9706406.6667;6849002.8169;5034.00;0.00;91.7732;11.5856;TIMELIMIT,TIMELIMIT,TIMELIMIT;868387.00;0.00;358202.00;0.00;2148936.00;0.00;158.10;1.2703;0.4763;0.0009;1.8752;0.0337;3.2975;0.0595;19.4103;0.5197;13.7286;0.5777;14.5741;0.1622;47.7143;0.6555;3603.093;0.1346;4.542;0.1839;2.829;0.1125;1.1374;0.017;-1.00;-1.00;4.1503;0.9692;3669.1943;0.3249;3670.4953;0.3298;0.00;0.00;NO_GT;4243358.00;0.00;0.00;0.00;1383.00;0.00;7.35;0.2794;24554.6667;2901.7036;15866.6667;1837.2685;1451.6667;87.3053;1450.00;282.8427;37.6667;10.9646;356.6667;42.2795;900.00;502.0624;4471.6667;205.4805;20.3333;12.4989
i15;3749900;0.00;1928981;0.00;15717280;0.00;10.00;0.00;25132.00;5428.4622;1838.00;555.3563;92.7878;0.9844;TIMELIMIT,TIMELIMIT,TIMELIMIT;980125.00;0.00;391547.00;0.00;2455569.00;0.00;128.8767;0.2843;0.4738;0.0065;1.80;0.0133;3.5675;0.0946;16.3768;0.687;11.8972;0.1803;12.7215;0.2314;40.9969;1.0798;3602.6622;0.0893;3.6316;0.2361;2.8617;0.1746;1.2981;0.0128;-1.00;-1.00;4.9866;0.0757;3662.3594;1.171;3663.607;1.1632;0.00;0.00;NO_GT;3750651.00;0.00;0.00;0.00;751.00;0.00;6.28;0.1203;25132.00;5428.4622;15283.3333;7013.5979;5130.00;891.2912;260.00;43.2049;62.00;8.2865;558.3333;47.8423;456.6667;234.426;3370.00;395.2425;11.6667;4.714
i16;3304908;0.00;1684642;0.00;13663492;0.00;0.00;0.00;-1.00;-1.00;1415.3333;319.8503;-1.00;-1.00;TIMELIMIT,TIMELIMIT,TIMELIMIT;878431.00;0.00;373766.00;0.00;2278783.00;0.00;102.59;0.5696;0.4763;0.0045;1.5373;0.0305;3.1758;0.0289;13.537;0.6847;10.8531;0.0582;11.3231;0.302;35.7144;0.6631;3601.6197;0.0705;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;3643.8527;0.6437;0.00;0.00;NO_GT;3305732.00;0.00;0.00;0.00;824.00;0.00;5.67;0.0804;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00
i17;26095872;0.00;13258694;0.00;109446200;0.00;0.00;0.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;OUT_OF_MEMORY,OUT_OF_MEMORY,OUT_OF_MEMORY;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;0.5119;0.0041;9.6607;0.0819;10.7726;0.1214;109.6435;0.8811;81.3842;1.7235;97.3785;0.3665;288.4076;2.9711;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;2710.793;3386.6883;0.6667;0.4714;NO_GT;26097094.00;0.00;0.00;0.00;1222.00;0.00;43.5367;1.327;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00
i18;9281278;0.00;4708224;0.00;39139673;0.00;0.00;0.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;OUT_OF_MEMORY,OUT_OF_MEMORY,OUT_OF_MEMORY;1989288.00;0.00;827768.00;0.00;4787147.00;0.00;365.0433;2.1639;0.4963;0.0006;3.3584;0.0495;5.0406;0.065;40.8624;0.5827;29.2978;0.758;33.6155;1.2919;103.7769;1.4487;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;697.5807;18.1757;1.00;0.00;NO_GT;9282515.00;0.00;0.00;0.00;1237.00;0.00;15.5167;0.0309;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00
i19;37498644;0.00;19087207;0.00;164352455;0.00;0.00;0.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;OUT_OF_MEMORY,OUT_OF_MEMORY,OUT_OF_MEMORY;6975415.00;0.00;2825834.00;0.00;-1.00;-1.00;1235.69;0.00;0.5248;0.0037;11.393;0.1492;12.0845;0.3084;180.3216;0.00;127.6035;0.00;136.5333;0.00;444.4597;0.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;637.721;776.3261;1.00;0.00;NO_GT;37500700.00;0.00;0.00;0.00;2056.00;0.00;66.49;0.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00
i20;3124066;0.00;1607766;0.00;12921916;0.00;0.00;0.00;-1.00;-1.00;21043.0011;3117.6346;-1.00;-1.00;TIMELIMIT,TIMELIMIT,TIMELIMIT;1027362.00;0.00;445723.00;0.00;2958189.00;0.00;104.84;0.5853;0.4792;0.0029;1.802;0.077;3.2032;0.0425;12.8526;0.3411;10.2957;0.234;10.6051;0.1319;33.7546;0.2963;3601.8138;0.0897;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;3642.3387;0.227;0.00;0.00;NO_GT;3125160.00;0.00;0.00;0.00;1094.00;0.00;5.31;0.2238;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00
